repo_name	decision	note	description	topics	language	stars	archived	is_fork	search_names
akaeii/fasta_gene_isolator	include	metadata indicates biological FASTA use	A script that isolates the glycoprotein (GP) gene in 27 strains of the Ebola virus. All data are downloaded from NCBI GenBank.	bad-code;bioinformatics	Python	0.0	0.0	0.0	akaeii/fasta_gene_isolator
Akinmills/FASTA	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	akinmills/fasta
alanllano/analizador-fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	alanllano/analizador-fasta
alanllano/gc-fasta	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	alanllano/gc-fasta
AlanTome/Contando-Cromossomos-de-um-arquivo-fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	alantome/contando-cromossomos-de-um-arquivo-fasta
albreax/Fasta-subsequence-extractor	include	metadata indicates biological FASTA use			Python	0.0	0.0	0.0	albreax/fasta-subsequence-extractor
aldhr/get_smiles_and_fasta_from_PDB	include	repository name indicates FASTA sequence handling	This codes are for getting smiles and fasta from PDB files.		Jupyter Notebook	0.0	0.0	0.0	aldhr/get_smiles_and_fasta_from_pdb
AlejoGavidia/-C-Users-alejo-OneDrive-Documentos-BIOINFORM-TICA-FASTA1-	include	metadata indicates biological FASTA use				0.0	0.0	0.0	alejogavidia/-c-users-alejo-onedrive-documentos-bioinform-tica-fasta1-
Alexander-Mitrofanov/fasta-web-server	include	metadata indicates biological FASTA use	Proof-of-concept FASTA web form with GitHub Pages frontend and de.NBI compute backend		HTML	0.0	0.0	0.0	alexander-mitrofanov/fasta-web-server
alexcoppe/from_fastq_to_fasta	include	metadata indicates biological FASTA use	:pill: A software for converting FASTQ files to FASTA ones		C	0.0	0.0	0.0	alexcoppe/from_fastq_to_fasta
alexleach/fasta_lazy_loader	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	alexleach/fasta_lazy_loader
AlexZ-AlexZ/Fasta	exclude	insufficient metadata to establish biological FASTA use			HTML	0.0	0.0	0.0	alexz-alexz/fasta
AlgebraicAttack/Chosen-IV-Algebraic-Attack-on-Randomized-Ciphers-FASTA-and-HERA	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	algebraicattack/chosen-iv-algebraic-attack-on-randomized-ciphers-fasta-and-hera
algosbiz/fasta-web	exclude	insufficient metadata to establish biological FASTA use			HTML	0.0	0.0	0.0	algosbiz/fasta-web
alibrandi/fasta-view	include	repository name indicates FASTA sequence handling			JavaScript	0.0	0.0	0.0	alibrandi/fasta-view
alimonoo/FASTA_Analyzer	include	repository name indicates FASTA sequence handling			Python	1.0	0.0	0.0	alimonoo/fasta_analyzer
Alina110401/Analizator-FASTA	exclude	insufficient metadata to establish biological FASTA use			C#	0.0	0.0	0.0	alina110401/analizator-fasta
Alipn97/FASTQ-to-FASTA	include	metadata indicates biological FASTA use			Python	0.0	0.0	0.0	alipn97/fastq-to-fasta
AlixRegnier/FASTA_TSP_reordering	include	metadata indicates biological FASTA use	Reorder FASTA to make them more compressible using TSP with Mash distance		C++	0.0	0.0	0.0	alixregnier/fasta_tsp_reordering
allenmadsen/fastq2fasta	include	metadata indicates biological FASTA use			C++	0.0	0.0	0.0	allenmadsen/fastq2fasta
alona-korzhakova/fasta_handler	include	metadata indicates biological FASTA use	"program made as a part of the final exam of the course ""Python for Genomic Data Science"" from John Hopkins University"		Python	0.0	0.0	0.0	alona-korzhakova/fasta_handler
alouyakis/get_inteins_fasta	include	metadata indicates biological FASTA use	Python script creates multi-seq fasta of all inteins currently on InBase2.0 (12/28/2020, 1273 entries)			0.0	0.0	0.0	alouyakis/get_inteins_fasta
AlvaroOrtaToscano/OncoScanFASTA	include	metadata indicates biological FASTA use	OncoScanFASTA: herramienta bioinformática que analiza archivos FASTA, identifica genes oncogénicos, calcula métricas genéticas clave y traduce ADN a proteínas. Ideal para proyectos ómicos, educación y ciencia aplicada.		Python	0.0	0.0	0.0	alvaroortatoscano/oncoscanfasta
alwin1031/FASTA	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	alwin1031/fasta
amazingawwal/Fasta_Moni	exclude	insufficient metadata to establish biological FASTA use	Front End Dev Test		JavaScript	0.0	0.0	0.0	amazingawwal/fasta_moni
amitjoshi32/GENBANK_FASTA_PYTHON	include	metadata indicates biological FASTA use	Python codes to retrieve FASTA and Genbank source information in Biopython module		Python	1.0	0.0	0.0	amitjoshi32/genbank_fasta_python
Amjad1148/Fasta_header_modification	include	metadata indicates biological FASTA use	Modifies the header of the fasta and keep the gene ID and sequence removing unwanted text from fasta header			2.0	0.0	0.0	amjad1148/fasta_header_modification
amrgalalibrahim/Nanopore_to_Fasta	include	metadata indicates biological FASTA use	Nanopore barcode sequencing to final single fasta		Shell	1.0	0.0	0.0	amrgalalibrahim/nanopore_to_fasta
Amuoeba/fasta_collapse	include	metadata indicates biological FASTA use	Finds fasta entries that have same sequence but different id and collapses them		Python	0.0	0.0	0.0	amuoeba/fasta_collapse
anatolydryga/prefixFasta	include	metadata indicates biological FASTA use	add prefix to fasta identifier		Python	0.0	0.0	0.0	anatolydryga/prefixfasta
andorrandeded/fasta	exclude	insufficient metadata to establish biological FASTA use			Elixir	0.0	0.0	0.0	andorrandeded/fasta
andvides/selectFasta	include	repository name indicates FASTA sequence handling			C++	0.0	0.0	0.0	andvides/selectfasta
aneeshreddy12/fasta	exclude	insufficient metadata to establish biological FASTA use			PureBasic	0.0	0.0	0.0	aneeshreddy12/fasta
ANGSD/fasta_splitter_triage	include	repository name indicates FASTA sequence handling			C++	0.0	0.0	0.0	angsd/fasta_splitter_triage
animaljam101/fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	animaljam101/fasta
animaljam101/fasta1	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	animaljam101/fasta1
AnkiGurao/split_fasta	include	metadata indicates biological FASTA use	CONVERT FASTA TO MULTIPLE FASTA BY ANNOTATIONS		Python	1.0	0.0	0.0	ankigurao/split_fasta
annap2898/Fasta_Manipulator	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	annap2898/fasta_manipulator
annogen/check_fasta_for_probe_design	include	metadata indicates biological FASTA use	simple R-script to check, and report on, the compliance of sequences supplied in a fasta with the requirements for design of probe sequences		R	0.0	0.0	0.0	annogen/check_fasta_for_probe_design
anolapalme/SortMyFasta	include	repository name indicates FASTA sequence handling				0.0	0.0	0.0	anolapalme/sortmyfasta
anthonyapollis/FASTA_FinTech_LendingDW	exclude	metadata indicates unrelated use of FASTA term/acronym	FASTA FinTech lending data warehouse and MLOps case study		Python	0.0	0.0	0.0	anthonyapollis/fasta_fintech_lendingdw
antonrenzoreyes/excel_to_fasta	include	repository name indicates FASTA conversion/handling			Python	0.0	0.0	0.0	antonrenzoreyes/excel_to_fasta
anupamsingh194/Fasta_parsing	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	anupamsingh194/fasta_parsing
Apb58/FASTA_Dup_Remover	include	metadata indicates biological FASTA use	Python script to remove FASTA Duplicate reads based on Read Tag IDs		Python	0.0	0.0	0.0	apb58/fasta_dup_remover
aqweszxcd/fasta2mif	include	repository name indicates FASTA conversion/handling			MATLAB	1.0	0.0	0.0	aqweszxcd/fasta2mif
arabidopsis/nnfasta	include	metadata indicates biological FASTA use	Neural Net efficient fasta Dataset for Training		Python	0.0	0.0	0.0	arabidopsis/nnfasta
arbdwj/FASTA	exclude	metadata indicates unrelated use of FASTA term/acronym	FASTA: Full Average Scaled Tiling Attention		Jupyter Notebook	0.0	0.0	0.0	arbdwj/fasta
Aria-Dolatabadian/FASTA-and-GBK-parsing	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	aria-dolatabadian/fasta-and-gbk-parsing
ariaixian/fasta-research-toolkit	include	repository name indicates FASTA sequence handling	Privacy-conscious command-line tools for reproducible FASTA preparation	fasta;privacy;python;reproducibility;research-software	Python	0.0	0.0	0.0	ariaixian/fasta-research-toolkit
Arik-299/test-for-fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	arik-299/test-for-fasta
arizai5-bit/analizador_fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	arizai5-bit/analizador_fasta
arpit20328/Fasta2Kaiju	include	repository name indicates FASTA sequence handling	Converts Custom FASTA to Kaiju Index			0.0	0.0	0.0	arpit20328/fasta2kaiju
arrogantrobot/fasta_combiner	include	metadata indicates biological FASTA use	Combine per-chromosome fasta reference files into one reference		Perl	0.0	0.0	0.0	arrogantrobot/fasta_combiner
Artur-Pinski/rename_fasta	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	artur-pinski/rename_fasta
Aryaan-Bazaz/GPU-Accelerated-Encryption-and-Brute-force-of-HE-Friendly-Stream-Ciphers-RASTA-FASTA-FLIP-and-FiLIP	exclude	metadata indicates unrelated use of FASTA term/acronym			Jupyter Notebook	0.0	0.0	0.0	aryaan-bazaz/gpu-accelerated-encryption-and-brute-force-of-he-friendly-stream-ciphers-rasta-fasta-flip-and-filip
AsadiR/FASTA	exclude	insufficient metadata to establish biological FASTA use			Java	0.0	0.0	0.0	asadir/fasta
asalas-lcg/Tarea_FASTA	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	asalas-lcg/tarea_fasta
ashakirin/microbiology-fasta	include	metadata indicates biological FASTA use			Java	0.0	0.0	0.0	ashakirin/microbiology-fasta
ashleydimarco/python-fasta	exclude	insufficient metadata to establish biological FASTA use	GCB Academy Course 2019: Section on Git Version Control		Python	0.0	0.0	0.0	ashleydimarco/python-fasta
Ashu-design/FASTA-to-CSV	include	repository name indicates FASTA sequence handling				0.0	0.0	0.0	ashu-design/fasta-to-csv
asssa7777/fasta-generator-pbio	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	asssa7777/fasta-generator-pbio
Astijq/fastFASTA	exclude	insufficient metadata to establish biological FASTA use	Laboratory work		Python	0.0	0.0	0.0	astijq/fastfasta
astra3code/KUZA-FASTA-	exclude	metadata indicates unrelated use of FASTA term/acronym	The Best SMM service app to boost your social media Followers likes comments shares both tiktok Instagram and Facebook etc with a cheap prices			0.0	0.0	0.0	astra3code/kuza-fasta-
atlas1612/fasta-analyzer	include	repository name indicates FASTA sequence handling			C#	0.0	0.0	0.0	atlas1612/fasta-analyzer
auguste-d/split-fasta	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	auguste-d/split-fasta
Augustus-M-Snyder/Fasta_stuff	exclude	insufficient metadata to establish biological FASTA use			Shell	0.0	0.0	0.0	augustus-m-snyder/fasta_stuff
Auktet08/fasta_2_csv	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	auktet08/fasta_2_csv
AVazdekis/GenBank-y-Fasta	include	metadata indicates biological FASTA use	En este codigo se analiza el gen CFTR y la proteina 4INS con el fin de explorar la informacion que nos ofrecen los formatos GenBank y Fasta		Gnuplot	0.0	0.0	0.0	avazdekis/genbank-y-fasta
AvhikBiswas/fasta-food	exclude	metadata indicates unrelated use of FASTA term/acronym			JavaScript	0.0	0.0	0.0	avhikbiswas/fasta-food
avikdatta/jupyter-fasta	exclude	metadata indicates unrelated use of FASTA term/acronym	A repo for running jupyter notebook with fasta extension in binder		Shell	0.0	0.0	0.0	avikdatta/jupyter-fasta
ayeleb77/FASTA.-S.-sonnei-one	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	ayeleb77/fasta.-s.-sonnei-one
ayeleb77/FASTA.-S.-sonnei-two	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	ayeleb77/fasta.-s.-sonnei-two
ayushman1401/GPU-Accelerated-Encryption-and-Brute-force-of-HE-Friendly-Stream-Ciphers-RASTA-FASTA-FLIP-and-FiLIP	exclude	metadata indicates unrelated use of FASTA term/acronym			Jupyter Notebook	0.0	0.0	0.0	ayushman1401/gpu-accelerated-encryption-and-brute-force-of-he-friendly-stream-ciphers-rasta-fasta-flip-and-filip
azulrobles/analizador-fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	azulrobles/analizador-fasta
babylindo/FASTQ-to-FASTA	include	metadata indicates biological FASTA use	FASTQ to FASTA			0.0	0.0	0.0	babylindo/fastq-to-fasta
bagnacan/flank-fasta	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	bagnacan/flank-fasta
Bambusaoldhamii/Fasta-AI_CSI-R1	exclude	metadata indicates unrelated use of FASTA term/acronym	 Fasta AI_CSI R1 – GPT-based Country Semantic Inference Module		HTML	0.0	0.0	0.0	bambusaoldhamii/fasta-ai_csi-r1
Bambusaoldhamii/fasta-rbca-resolver	exclude	insufficient metadata to establish biological FASTA use	Fasta Automated Rule-Based Country Assignment (RBCA) for influenza		Jupyter Notebook	0.0	0.0	0.0	bambusaoldhamii/fasta-rbca-resolver
BanForFun/vcf-to-fasta	include	metadata indicates biological FASTA use			JavaScript	0.0	0.0	0.0	banforfun/vcf-to-fasta
barperarroyo-boop/FASTA-archives---PAC4	include	metadata indicates biological FASTA use	Archivos FASTA generados en R			0.0	0.0	0.0	barperarroyo-boop/fasta-archives---pac4
basmith89/Brian-s_fastq_2_fasta	include	metadata indicates biological FASTA use	Perl script using regex to convert fastq file into fasta		Perl	0.0	0.0	0.0	basmith89/brian-s_fastq_2_fasta
bathy/yg_fasta_cutter	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	bathy/yg_fasta_cutter
Baxito/kuku-fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	baxito/kuku-fasta
BCCDC-PHL/fasta-blasta	include	metadata indicates biological FASTA use			Python	1.0	0.0	0.0	bccdc-phl/fasta-blasta
beknurtas-bio/fasta-fastq-parser	include	metadata indicates biological FASTA use	Python toolkit for parsing, filtering, and analyzing FASTA/FASTQ biological sequence files		Python	0.0	0.0	0.0	beknurtas-bio/fasta-fastq-parser
BENNETSASU/FASTA-MAPS-FOR-CRR-AND-RDT-GHANA	exclude	metadata indicates unrelated use of FASTA term/acronym			TypeScript	0.0	0.0	0.0	bennetsasu/fasta-maps-for-crr-and-rdt-ghana
BENNETSASU/GMet-FASTA-API-INTERGRATION	exclude	insufficient metadata to establish biological FASTA use			TypeScript	0.0	0.0	0.0	bennetsasu/gmet-fasta-api-intergration
benoitnabholz/VCF2Fasta	include	metadata indicates biological FASTA use			Python	1.0	0.0	0.0	benoitnabholz/vcf2fasta
bergeycm/vcf-tab-to-fasta	include	metadata indicates biological FASTA use			Perl	1.0	0.0	0.0	bergeycm/vcf-tab-to-fasta
BernhardRetzl/fasta_analysis	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	bernhardretzl/fasta_analysis
betafcc/regex-fasta	exclude	insufficient metadata to establish biological FASTA use			TypeScript	0.0	0.0	0.0	betafcc/regex-fasta
BetoAvila/Fasta	exclude	insufficient metadata to establish biological FASTA use	Fasta class library repo by Beto Avila		Python	0.0	0.0	0.0	betoavila/fasta
BetoPD/bison-fasta	exclude	insufficient metadata to establish biological FASTA use			C++	0.0	0.0	0.0	betopd/bison-fasta
BevalZ/bioinfo-fasta-search	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	bevalz/bioinfo-fasta-search
BFL-lab/grab-fasta	exclude	insufficient metadata to establish biological FASTA use			Perl	0.0	0.0	0.0	bfl-lab/grab-fasta
bge-barcoding/fasta-cleaner	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	bge-barcoding/fasta-cleaner
bhs4861-glitch/fasta_analysis	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	bhs4861-glitch/fasta_analysis
bicho44/fasta	exclude	metadata indicates unrelated use of FASTA term/acronym	Diseño Colegio FASTA Bariloche		CSS	0.0	0.0	0.0	bicho44/fasta
bicho44/fasta-boots	exclude	metadata indicates unrelated use of FASTA term/acronym	Diseño para Colegio FASTA basado en Bootstrap 3			0.0	0.0	0.0	bicho44/fasta-boots
bidauxpoto/fasta2oneline	include	repository name indicates FASTA sequence handling			Shell	0.0	0.0	0.0	bidauxpoto/fasta2oneline
bidauxpoto/get_fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	bidauxpoto/get_fasta
bigyambat/Masked_FASTA_Generation	include	metadata indicates biological FASTA use	Script to Create Masked FASTA Reference FASTA and Index based on Bed File		Shell	0.0	0.0	0.0	bigyambat/masked_fasta_generation
binita920/python-fasta	exclude	insufficient metadata to establish biological FASTA use	Repo for Scicomp workshop		Python	0.0	0.0	0.0	binita920/python-fasta
bioautoai/fasta2pdb	include	repository name indicates FASTA sequence handling			Shell	0.0	0.0	0.0	bioautoai/fasta2pdb
biobenkj/restrand-fasta	include	repository name indicates FASTA sequence handling			Rust	0.0	0.0	0.0	biobenkj/restrand-fasta
BioGUIwslLab/FASTA-Flattener	include	repository name indicates FASTA sequence handling	Multi  to 2 line FASTA conversion		Python	0.0	0.0	0.0	bioguiwsllab/fasta-flattener
BioGUIwslLab/FASTA-Small-Seq-Collector	include	metadata indicates biological FASTA use	Windows GUI app that collects sequences with length <= 300 for effectome analysis	fasta;gui;wsl1	Python	0.0	0.0	0.0	bioguiwsllab/fasta-small-seq-collector
BioInf-Wuerzburg/perl5lib-Fasta	include	metadata indicates biological FASTA use	leightweight, oo-stlye FASTA modules		Perl	2.0	0.0	0.0	bioinf-wuerzburg/perl5lib-fasta
Bioinformaticswork46/Homo-Sapiens-FASTA	include	metadata indicates biological FASTA use				0.0	0.0	0.0	bioinformaticswork46/homo-sapiens-fasta
BioinformatikGoettingen/TFClassFASTA	include	metadata indicates biological FASTA use			Java	0.0	0.0	0.0	bioinformatikgoettingen/tfclassfasta
BioInUmer/fastq2fasta	include	metadata indicates biological FASTA use	FASTQ to FASTA, Solved Twice. A pair of robust Bash and Python tools to convert fastq files to fasta, to minimize file size and ensure compatibility with FASTA-only bioinformatics programs.		Python	1.0	0.0	0.0	bioinumer/fastq2fasta
biopolly/new-fasta-analizer	exclude	insufficient metadata to establish biological FASTA use			Jupyter Notebook	4.0	0.0	0.0	biopolly/new-fasta-analizer
biopyladies/basic-fasta-utils	include	repository name indicates FASTA sequence handling			Jupyter Notebook	1.0	0.0	0.0	biopyladies/basic-fasta-utils
bioramonmoratori/ProcessamentoGenesFASTA	include	metadata indicates biological FASTA use	Transformando genomas FASTA em uma lista de códons e de aminoácidos. [pandas] [numpy] [machine learning].		Python	0.0	0.0	0.0	bioramonmoratori/processamentogenesfasta
bioShaun/align-fasta	include	repository name indicates FASTA sequence handling			Vue	0.0	0.0	0.0	bioshaun/align-fasta
birc-gsa/fasta-c-cmake	exclude	insufficient metadata to establish biological FASTA use	GSA project		Shell	0.0	0.0	0.0	birc-gsa/fasta-c-cmake
birc-gsa/fasta-go	exclude	insufficient metadata to establish biological FASTA use	GSA project		Shell	0.0	0.0	0.0	birc-gsa/fasta-go
birc-gsa/fasta-python	exclude	insufficient metadata to establish biological FASTA use	GSA project		Shell	0.0	0.0	0.0	birc-gsa/fasta-python
Bisendo/DukaFasta	exclude	insufficient metadata to establish biological FASTA use			JavaScript	0.0	0.0	0.0	bisendo/dukafasta
bishoyh/fq2fasta	include	metadata indicates biological FASTA use	convert fastq to fasta very fast!	fasta;fastq	C++	0.0	0.0	0.0	bishoyh/fq2fasta
bjtha/rust_fasta	include	metadata indicates biological FASTA use	Personal bioinformatics project as an exercise in Rust		Rust	0.0	0.0	0.0	bjtha/rust_fasta
blakesweeney/GG2Fasta	include	repository name indicates FASTA conversion/handling	Turn greengenes format into Fasta+JSON		Python	2.0	1.0	0.0	blakesweeney/gg2fasta
BlingArida/Fasta_antibody_library	include	metadata indicates biological FASTA use	Convert fasta to a.a. distribution		Jupyter Notebook	0.0	0.0	0.0	blingarida/fasta_antibody_library
bochaozhang/makeCloneFasta	include	repository name indicates FASTA sequence handling			Shell	0.0	0.0	0.0	bochaozhang/makeclonefasta
boehmax/extract-fasta-from-csv	include	repository name indicates FASTA sequence handling	This repo has been moved to codeberg		Python	0.0	1.0	0.0	boehmax/extract-fasta-from-csv
bogati42/fasta-pdb-converter	include	metadata indicates biological FASTA use	Convert between FASTA and PDB file formats for bioinformatics analysis		TypeScript	0.0	0.0	0.0	bogati42/fasta-pdb-converter
bos/shootout-fasta	include	metadata indicates biological FASTA use	A Haskell fasta implementation for the programming language shootout		Haskell	4.0	0.0	0.0	bos/shootout-fasta
boulund/go-count-fasta	include	repository name indicates FASTA sequence handling			Go	0.0	0.0	0.0	boulund/go-count-fasta
boyur/fasta-web	exclude	insufficient metadata to establish biological FASTA use			CSS	0.0	0.0	0.0	boyur/fasta-web
brandcm/add_variants_to_FASTA	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	brandcm/add_variants_to_fasta
brandmathias/FASTA-BLAST_PencarianBasisData	include	metadata indicates biological FASTA use			Python	0.0	0.0	0.0	brandmathias/fasta-blast_pencarianbasisdata
Brandommtz/fasta	exclude	insufficient metadata to establish biological FASTA use			Python	0.0	0.0	0.0	brandommtz/fasta
Brandommtz/Practica-fasta	exclude	insufficient metadata to establish biological FASTA use				0.0	0.0	0.0	brandommtz/practica-fasta
brigidar/fasta_sorting	include	repository name indicates FASTA sequence handling			Python	0.0	0.0	0.0	brigidar/fasta_sorting
